date,distance_million_km
2027-07-05,152.100487
2028-07-03,152.093135
2029-07-06,152.098063
2030-07-04,152.099549
2031-07-06,152.094393
2032-07-05,152.103787
2033-07-03,152.095207
2034-07-06,152.091722
2035-07-05,152.102240
2036-07-03,152.090668
2037-07-06,152.090948
2038-07-04,152.094797
2039-07-05,152.090001
2040-07-05,152.100218
2041-07-04,152.094466
2042-07-06,152.089489
2043-07-06,152.102765
2044-07-03,152.095561
2045-07-06,152.094491
2046-07-05,152.100133
2047-07-05,152.092093
2048-07-06,152.097232
2049-07-04,152.091999
2050-07-06,152.085461
2051-07-06,152.099928
2052-07-03,152.095437
2053-07-06,152.091339
2054-07-05,152.099019
2055-07-04,152.093219
2056-07-06,152.097747
2057-07-04,152.096298
2058-07-05,152.087529
2059-07-06,152.098753
2060-07-03,152.092786
2061-07-06,152.085332
2062-07-05,152.095168
2063-07-04,152.092656
2064-07-06,152.095709
2065-07-05,152.096951
2066-07-05,152.088704
2067-07-07,152.100232
2068-07-04,152.097900
2069-07-05,152.088950
2070-07-06,152.097308
2071-07-04,152.092092
2072-07-06,152.089039
2073-07-05,152.090740
2074-07-04,152.084763
2075-07-07,152.095940
2076-07-04,152.098006
2077-07-05,152.088603
2078-07-06,152.098046
2079-07-04,152.097178
2080-07-06,152.093086
2081-07-05,152.096422
2082-07-04,152.089214
2083-07-07,152.093400
2084-07-04,152.093891
2085-07-04,152.083067
2086-07-07,152.092090
2087-07-05,152.095091
2088-07-05,152.089306
2089-07-06,152.093646
2090-07-04,152.089453
2091-07-07,152.093678
2092-07-05,152.098365
2093-07-04,152.089132
2094-07-07,152.094384
2095-07-05,152.095780
2096-07-05,152.085816
2097-07-06,152.089103
2098-07-04,152.087665
2099-07-07,152.090430
2100-07-06,152.096571
