date,distance_million_km
2027-01-03,147.104587
2028-01-05,147.100682
2029-01-02,147.098344
2030-01-03,147.105832
2031-01-04,147.094558
2032-01-03,147.091637
2033-01-04,147.099424
2034-01-04,147.097985
2035-01-03,147.103312
2036-01-05,147.102604
2037-01-03,147.097922
2038-01-03,147.107792
2039-01-05,147.101266
2040-01-03,147.098631
2041-01-03,147.106628
2042-01-04,147.099797
2043-01-02,147.097817
2044-01-05,147.098030
2045-01-03,147.094397
2046-01-03,147.106321
2047-01-05,147.102812
2048-01-03,147.096855
2049-01-03,147.104700
2050-01-04,147.100485
2051-01-03,147.100325
2052-01-05,147.104967
2053-01-03,147.099578
2054-01-02,147.104969
2055-01-05,147.100469
2056-01-04,147.092255
2057-01-03,147.103590
2058-01-05,147.103794
2059-01-03,147.101455
2060-01-04,147.106693
2061-01-04,147.099880
2062-01-02,147.105281
2063-01-05,147.106408
2064-01-04,147.097288
2065-01-02,147.105212
2066-01-05,147.102207
2067-01-03,147.093330
2068-01-04,147.101146
2069-01-04,147.098411
2070-01-03,147.105557
2071-01-05,147.109982
2072-01-04,147.099146
2073-01-02,147.105896
2074-01-05,147.107646
2075-01-04,147.099439
2076-01-03,147.106909
2077-01-04,147.102067
2078-01-03,147.100344
2079-01-05,147.102983
2080-01-05,147.092906
2081-01-02,147.101435
2082-01-05,147.108907
2083-01-04,147.100107
2084-01-03,147.105958
2085-01-05,147.104508
2086-01-03,147.103448
2087-01-04,147.110800
2088-01-05,147.101664
2089-01-02,147.104469
2090-01-05,147.109120
2091-01-04,147.094772
2092-01-03,147.100396
2093-01-05,147.104138
2094-01-04,147.102733
2095-01-04,147.110234
2096-01-05,147.100754
2097-01-03,147.102517
2098-01-05,147.112542
2099-01-05,147.100799
2100-01-03,147.105534
