Giorno dell'anno,Data (cal. giuliano),Distanza (km)
1,01 Gen 1300,363977.9
2,02 Gen 1300,363298.4
3,03 Gen 1300,363839.6
4,04 Gen 1300,365563.4
5,05 Gen 1300,368350.5
6,06 Gen 1300,372014.1
7,07 Gen 1300,376320.1
8,08 Gen 1300,381009.3
9,09 Gen 1300,385818.3
10,10 Gen 1300,390496.3
11,11 Gen 1300,394816.7
12,12 Gen 1300,398584.8
13,13 Gen 1300,401640.8
14,14 Gen 1300,403861.6
15,15 Gen 1300,405161.0
16,16 Gen 1300,405490.0
17,17 Gen 1300,404836.2
18,18 Gen 1300,403224.0
19,19 Gen 1300,400715.0
20,20 Gen 1300,397407.5
21,21 Gen 1300,393436.9
22,22 Gen 1300,388974.7
23,23 Gen 1300,384226.8
24,24 Gen 1300,379428.8
25,25 Gen 1300,374837.2
26,26 Gen 1300,370716.2
27,27 Gen 1300,367319.1
28,28 Gen 1300,364866.8
29,29 Gen 1300,363525.6
30,30 Gen 1300,363389.0
31,31 Gen 1300,364466.8
32,01 Feb 1300,366683.3
33,02 Feb 1300,369887.3
34,03 Feb 1300,373867.9
35,04 Feb 1300,378377.4
36,05 Feb 1300,383152.1
37,06 Feb 1300,387932.5
38,07 Feb 1300,392477.4
39,08 Feb 1300,396573.8
40,09 Feb 1300,400042.2
41,10 Feb 1300,402739.2
42,11 Feb 1300,404558.0
43,12 Feb 1300,405429.0
44,13 Feb 1300,405319.5
45,14 Feb 1300,404233.6
46,15 Feb 1300,402212.2
47,16 Feb 1300,399333.1
48,17 Feb 1300,395711.3
49,18 Feb 1300,391498.4
50,19 Feb 1300,386881.6
51,20 Feb 1300,382080.8
52,21 Feb 1300,377342.2
53,22 Feb 1300,372927.8
54,23 Feb 1300,369099.4
55,24 Feb 1300,366098.6
56,25 Feb 1300,364124.7
57,26 Feb 1300,363313.4
58,27 Feb 1300,363721.7
59,28 Feb 1300,365320.9
60,29 Feb 1300,368000.0
61,01 Mar 1300,371578.7
62,02 Mar 1300,375826.9
63,03 Mar 1300,380487.2
64,04 Mar 1300,385295.7
65,05 Mar 1300,389999.5
66,06 Mar 1300,394369.0
67,07 Mar 1300,398205.8
68,08 Mar 1300,401346.1
69,09 Mar 1300,403662.8
70,10 Mar 1300,405065.9
71,11 Mar 1300,405502.0
72,12 Mar 1300,404954.8
73,13 Mar 1300,403444.9
74,14 Mar 1300,401029.6
75,15 Mar 1300,397803.4
76,16 Mar 1300,393897.4
77,17 Mar 1300,389479.4
78,18 Mar 1300,384751.7
79,19 Mar 1300,379946.9
80,20 Mar 1300,375320.0
81,21 Mar 1300,371135.0
82,22 Mar 1300,367647.4
83,23 Mar 1300,365082.7
84,24 Mar 1300,363614.3
85,25 Mar 1300,363344.3
86,26 Mar 1300,364291.8
87,27 Mar 1300,366390.2
88,28 Mar 1300,369495.8
89,29 Mar 1300,373403.3
90,30 Mar 1300,377867.7
91,31 Mar 1300,382626.3
92,01 Apr 1300,387418.2
93,02 Apr 1300,391999.8
94,03 Apr 1300,396154.5
95,04 Apr 1300,399699.1
96,05 Apr 1300,402486.0
97,06 Apr 1300,404404.7
98,07 Apr 1300,405381.4
99,08 Apr 1300,405379.3
100,09 Apr 1300,404398.6
101,10 Apr 1300,402476.1
102,11 Apr 1300,399685.7
103,12 Apr 1300,396138.2
104,13 Apr 1300,391981.3
105,14 Apr 1300,387398.4
106,15 Apr 1300,382606.1
107,16 Apr 1300,377848.2
108,17 Apr 1300,373385.6
109,18 Apr 1300,369480.9
110,19 Apr 1300,366379.2
111,20 Apr 1300,364285.3
112,21 Apr 1300,363342.9
113,22 Apr 1300,363618.0
114,23 Apr 1300,365091.3
115,24 Apr 1300,367660.2
116,25 Apr 1300,371151.3
117,26 Apr 1300,375338.7
118,27 Apr 1300,379966.9
119,28 Apr 1300,384771.8
120,29 Apr 1300,389498.7
121,30 Apr 1300,393914.9
122,01 Mag 1300,397818.4
123,02 Mag 1300,401041.5
124,03 Mag 1300,403453.2
125,04 Mag 1300,404959.1
126,05 Mag 1300,405502.2
127,06 Mag 1300,405062.0
128,07 Mag 1300,403655.0
129,08 Mag 1300,401334.6
130,09 Mag 1300,398191.0
131,10 Mag 1300,394351.7
132,11 Mag 1300,389980.3
133,12 Mag 1300,385275.6
134,13 Mag 1300,380467.2
135,14 Mag 1300,375808.1
136,15 Mag 1300,371562.1
137,16 Mag 1300,367986.7
138,17 Mag 1300,365311.8
139,18 Mag 1300,363717.5
140,19 Mag 1300,363314.2
141,20 Mag 1300,364130.6
142,21 Mag 1300,366109.2
143,22 Mag 1300,369113.9
144,23 Mag 1300,372945.3
145,24 Mag 1300,377361.6
146,25 Mag 1300,382101.0
147,26 Mag 1300,386901.5
148,27 Mag 1300,391517.0
149,28 Mag 1300,395727.9
150,29 Mag 1300,399346.8
151,30 Mag 1300,402222.5
152,31 Mag 1300,404240.1
153,01 Giu 1300,405322.0
154,02 Giu 1300,405427.4
155,03 Giu 1300,404552.3
156,04 Giu 1300,402729.7
